ratio,roi,gain,value,lo,hi
6,mFus,4,0.05748485751208947,0.05337768461944447,0.061423743182972924
6,pFus,1,0.05105838788541146,0.04448496618515002,0.05655146977648123
6,pFus,1.5,0.03756064743172163,0.035078028492122965,0.04168439292737253
6,pFus,2,0.036926764728654575,0.03126132986986414,0.04224137986079825
6,pFus,2.5,0.036691428375938695,0.032667601455966186,0.043533481526088824
6,pFus,3,0.036326865145316634,0.034329924963201225,0.04403697107475637
6,pFus,3.5,0.03434288806670928,0.029875924971072488,0.039152851037824746
6,pFus,4,0.036051960783391346,0.03219435227363233,0.04563071721275706
7,IOG,1,0.1920454379065587,0.16570310203010688,0.2235325412096264
7,IOG,1.5,0.14968944975300577,0.12867897253356264,0.17246106533477476
7,IOG,2,0.13234987661849212,0.112895029705878,0.15134636167916474
7,IOG,2.5,0.12059144203901048,0.1058703889281674,0.1414305512773567
7,IOG,3,0.11871797552585164,0.10803507945370039,0.1371583745711302
7,IOG,3.5,0.12435783692313229,0.11193236227175425,0.13630029970396257
7,IOG,4,0.12145191818725075,0.11012100668593891,0.13063463807278872
7,mFus,1,0.06267860557879534,0.05504358967954927,0.07104459967088123
7,mFus,1.5,0.05123350056019504,0.044300050548885694,0.05808254940364102
7,mFus,2,0.05069095631579781,0.04476872935229318,0.05406988002650437
7,mFus,2.5,0.04683775546282186,0.04058783314764622,0.05254408382908704
7,mFus,3,0.05265809533127279,0.043996980915034845,0.055435370145156995
7,mFus,3.5,0.05091422865631027,0.04526805405861973,0.055295607790532386
7,mFus,4,0.053129494683165135,0.04462047820464468,0.05672316976360864
7,pFus,1,0.03790710534882431,0.03324107387800419,0.04631007207874106
7,pFus,1.5,0.033453510108223374,0.029773552156051947,0.036580445977374525
7,pFus,2,0.032809349480133976,0.02868284969615869,0.03634434535285393
7,pFus,2.5,0.03004853814357683,0.02764167035986801,0.03612736878651111
7,pFus,3,0.030363321455174064,0.027290408622870924,0.034974399863169636
7,pFus,3.5,0.030708156630639256,0.028027307119412856,0.035430918405774045
7,pFus,4,0.031021154996882808,0.02773528204575748,0.03499333740941266
8,IOG,1,0.14366664093210285,0.11971391808244984,0.1618330142175479
8,IOG,1.5,0.12255067931347277,0.09846085257462692,0.14082339550479533
8,IOG,2,0.09534031911322284,0.07951449461311756,0.10754203339390152
8,IOG,2.5,0.09131588611571012,0.07923835464590229,0.10433867245948866
8,IOG,3,0.09002343498203383,0.0817590597977473,0.09784677206762891
8,IOG,3.5,0.08492433316611869,0.07840905104029931,0.10293530519978007
8,IOG,4,0.09106011386916779,0.08280241779474147,0.10460331745103553
8,mFus,1,0.05456543138647296,0.047389010948712035,0.061670312808301
8,mFus,1.5,0.04524033706556855,0.04028927969310939,0.05042813214480655
8,mFus,2,0.04497151822025448,0.040365712543564886,0.05084541206379616
